customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,profit
1,Laraine,Medendorp,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,060 Morning Avenue,2016,New South Wales,Australia,10,3018.09
2,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0,6 Meadow Vale Court,2153,New South Wales,Australia,10,2226.26
3,Arlin,Dearle,Male,61,1954-01-20,Recruiting Manager,Property,Mass Customer,N,Yes,15.0,0 Holy Cross Court,4211,QLD,Australia,9,3362.81
4,Talbot,,Male,33,1961-10-03,,IT,Mass Customer,N,No,7.0,17979 Del Mar Point,2448,New South Wales,Australia,4,220.57
5,Sheila-kathryn,Calton,Female,56,1977-05-13,Senior Editor,,Affluent Customer,N,Yes,8.0,9 Oakridge Court,3216,VIC,Australia,9,2394.94
6,Curr,Duckhouse,Male,35,1966-09-16,,Retail,High Net Worth,N,Yes,13.0,4 Delaware Trail,2210,New South Wales,Australia,9,3946.55
7,Fina,Merali,Female,6,1976-02-23,,Financial Services,Affluent Customer,N,Yes,11.0,49 Londonderry Lane,2650,New South Wales,Australia,4,220.10999999999999
8,Rod,Inder,Male,31,1962-03-30,Media Manager I,,Mass Customer,N,No,7.0,97736 7th Trail,2023,New South Wales,Australia,12,7066.939999999999
9,Mala,Lind,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8.0,93405 Ludington Park,3044,VIC,Australia,8,2353.1099999999997
10,Fiorenze,Birdall,Female,49,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20.0,44339 Golden Leaf Alley,4557,QLD,Australia,4,3358.2800000000007
11,Uriah,Bisatt,Male,99,1954-04-30,,Property,Mass Customer,N,No,9.0,2 Sutherland Street,3799,VIC,Australia,6,3638.8400000000006
12,Sawyere,Flattman,Male,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0,9 Mcbride Trail,2760,New South Wales,Australia,8,3540.0299999999997
13,Gabriele,Norcross,Male,38,1955-02-15,Developer I,Financial Services,High Net Worth,N,Yes,8.0,9861 New Castle Avenue,2428,New South Wales,Australia,9,4337.38
14,Rayshell,Kitteman,Female,85,1983-03-25,Account Executive,Financial Services,Affluent Customer,N,No,6.0,52 Moland Street,3331,VIC,Australia,4,1713.9
15,Erroll,Radage,247,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,No,1.0,82391 Kensington Lane,3058,VIC,Australia,9,1728.39
16,Harlin,Parr,Male,38,1977-02-27,Media Manager IV,,Mass Customer,N,Yes,18.0,092 2nd Alley,2135,New South Wales,Australia,12,4521.839999999999
17,Heath,Faraday,Male,57,1962-03-19,Sales Associate,,Affluent Customer,N,Yes,15.0,59 Spaight Circle,2233,New South Wales,Australia,9,2015.6100000000001
18,Marjie,Neasham,Female,79,1967-07-06,Professor,,Affluent Customer,N,No,11.0,032 Bartelt Crossing,2444,New South Wales,Australia,8,3543.38
19,Sorcha,Keyson,Female,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,No,1.0,18 Jenna Center,2650,New South Wales,Australia,7,2951.79
20,Basile,Firth,Male,72,1980-08-13,Project Manager,Manufacturing,Mass Customer,N,No,11.0,3 Cordelia Plaza,2153,New South Wales,Australia,10,3608.2799999999997
21,Mile,Cammocke,Male,74,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16.0,28 5th Center,4413,QLD,Australia,3,4229.41
22,Deeanne,Durtnell,Female,79,1962-12-10,,IT,Mass Customer,N,No,11.0,52 Carey Alley,4740,QLD,Australia,5,4286.95
23,Olav,Polak,Male,43,1995-02-10,,,High Net Worth,N,Yes,1.0,96 Texas Plaza,3218,VIC,Australia,7,4376.15
24,Kim,Skpsey,Female,55,1977-12-03,Research Assistant I,Argiculture,Mass Customer,N,Yes,15.0,48 Eagan Avenue,4868,QLD,Australia,4,3689.35
25,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21.0,9 Buell Park,4116,QLD,Australia,7,5333.66
26,Trixi,Ginnelly,Female,12,1978-06-10,Editor,Financial Services,Mass Customer,N,Yes,16.0,02663 Buell Parkway,2519,New South Wales,Australia,11,268.2399999999999
27,Garvin,Klees,Male,37,1978-09-25,Research Nurse,Health,Mass Customer,N,Yes,12.0,2294 Pleasure Place,2135,New South Wales,Australia,12,3274.250000000001
28,Fee,Zellmer,Male,5,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21.0,2951 Petterle Place,2756,New South Wales,Australia,9,3366.5600000000004
29,Mona,Sancraft,Female,62,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,N,No,19.0,63 Lukken Drive,2170,New South Wales,Australia,9,6175.3
30,Darrick,Helleckas,Male,18,1961-10-18,,IT,Affluent Customer,N,Yes,6.0,833 Luster Way,4005,QLD,Australia,8,2633.95
31,Star,Praton,Female,3,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14.0,34 Russell Plaza,4127,QLD,Australia,6,426.10999999999996
32,Marion,Vanichkin,Female,17,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0,78 Del Sol Hill,2535,New South Wales,Australia,8,2823.12
33,Ernst,Hacon,Male,44,1957-06-25,Product Engineer,,Affluent Customer,N,Yes,11.0,54 Sage Plaza,4726,QLD,Australia,1,5150.450000000001
34,Jephthah,Bachmann,U,59,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No,20.0,90 Lawn Parkway,4805,QLD,Australia,4,4825.59
35,Margaretha,Strettle,Female,40,1963-09-28,Information Systems Manager,Health,High Net Worth,N,Yes,16.0,38726 Ilene Crossing,2212,New South Wales,Australia,10,3706.5099999999998
36,Lurette,Stonnell,Female,33,1977-11-09,VP Quality Control,,Affluent Customer,N,No,22.0,3496 Brown Drive,2207,New South Wales,Australia,8,204.35999999999999
37,Laurie,Dwerryhouse,Female,46,1985-12-22,Social Worker,Health,High Net Worth,N,No,16.0,7188 Cody Way,3350,VIC,Australia,9,6338.49
38,Cordi,Merman,Female,37,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20.0,1 Claremont Park,3931,VIC,Australia,10,2025.34
39,Hunfredo,Smalley,Male,5,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,N,No,22.0,60 Eagan Circle,4018,QLD,Australia,8,6085.169999999998
40,Tomasine,Jerche,Female,91,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14.0,89314 Eagle Crest Center,4670,QLD,Australia,2,4552.1
41,Basilius,Coupe,Male,64,1976-04-14,Food Chemist,Health,Mass Customer,N,No,16.0,2028 Lakewood Place,2480,New South Wales,Australia,3,4531.68
42,Chiquita,Durnall,Female,24,1977-03-28,Accountant III,Manufacturing,Mass Customer,N,No,18.0,70875 Hudson Point,3212,VIC,Australia,6,427.04
43,Indira,Belt,Female,38,1983-03-01,Director of Sales,Retail,Mass Customer,N,No,5.0,543 Killdeer Park,2322,New South Wales,Australia,4,3619.95
44,Neron,Verick,Male,63,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17.0,22125 Ramsey Drive,3198,VIC,Australia,9,4768.28
45,Trace,Woodhead,Male,64,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8.0,3107 Calypso Terrace,2210,New South Wales,Australia,9,1048.1499999999999
46,Kaila,Allin,Female,98,1972-02-26,,,Affluent Customer,N,Yes,15.0,957 Veith Junction,2047,New South Wales,Australia,10,1623.6299999999997
47,Matthew,Jeaycock,Male,51,1992-10-22,Registered Nurse,Health,Affluent Customer,N,No,2.0,4853 Gulseth Avenue,4503,QLD,Australia,5,4332.1900000000005
48,Rebbecca,Casone,Female,46,1975-08-15,Biostatistician II,,Mass Customer,N,Yes,8.0,9 Michigan Terrace,2145,New South Wales,Australia,8,5561.08
49,Nolly,Ownsworth,Male,63,1994-01-26,VP Quality Control,,Affluent Customer,N,No,1.0,62 Steensland Road,4350,QLD,Australia,3,4248.68
50,Whitby,Schapero,Male,38,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,Yes,16.0,6 Homewood Avenue,2142,New South Wales,Australia,8,5783.66
51,Fidelio,Dilke,Male,68,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,N,No,18.0,15 Almo Lane,2029,New South Wales,Australia,10,4855.400000000001
52,Curran,Bentson,Male,57,1988-06-22,,Financial Services,Mass Customer,N,Yes,13.0,690 Glacier Hill Circle,2127,New South Wales,Australia,10,5417.83
53,Agnella,Gocke,Female,22,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,N,No,16.0,89787 Village Green Terrace,4280,QLD,Australia,6,2950.07
54,Loralyn,Wonfor,Femal,2,1966-07-24,Sales Associate,Property,Mass Customer,N,Yes,18.0,18 Elgar Park,2166,New South Wales,Australia,9,4098.21
55,Linc,Jillions,Male,48,1956-09-24,Paralegal,Financial Services,Affluent Customer,N,Yes,7.0,413 Mayer Street,2046,New South Wales,Australia,9,3220.8599999999997
56,Reese,Ensor,Male,44,1996-07-04,VP Sales,Property,Mass Customer,N,Yes,4.0,39 3rd Drive,2026,New South Wales,Australia,10,1275.2399999999998
57,Abba,Masedon,M,87,1988-06-13,Chief Design Engineer,,Mass Customer,N,Yes,13.0,44516 Katie Parkway,2765,New South Wales,Australia,7,5117.96
58,Dalenna,Pinnock,Female,26,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17.0,41 Schurz Center,2749,New South Wales,Australia,8,3501.37
59,Niki,Heathcote,Male,60,2000-02-08,Physical Therapy Assistant,,High Net Worth,N,No,3.0,68150 Boyd Road,2745,New South Wales,Australia,9,2628.37
60,Nadiya,Champerlen,Female,18,1970-02-04,,Manufacturing,Mass Customer,N,No,10.0,11474 Westend Hill,3752,VIC,Australia,8,647.22
61,Kacey,Rowbottom,Female,47,1959-11-29,Help Desk Operator,Property,High Net Worth,N,No,13.0,308 Jana Crossing,2153,New South Wales,Australia,10,4254.240000000001
62,Sorcha,Roggers,Female,38,1979-07-06,,IT,Mass Customer,N,Yes,22.0,163 Straubel Trail,2217,New South Wales,Australia,10,4920.879999999999
63,Ebony,Zini,Female,58,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16.0,68294 Clarendon Crossing,2230,New South Wales,Australia,10,2190.05
