customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,profit
1,Chickie,Brister,Male,86,1957-07-12,General Manager,Manufacturing,Mass Customer,N,Yes,14.0,45 Shopko Center,4500,QLD,Australia,6,2725.5168046096514
2,Morly,Genery,Male,69,1970-03-22,Structural Engineer,Property,Mass Customer,N,No,16.0,14 Mccormick Park,2113,NSW,Australia,11,2706.9785790798023
3,Ardelis,Forrester,Female,10,1974-08-28,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,10.0,5 Colorado Crossing,3505,VIC,Australia,5,2680.114621047434
4,Lucine,Stutt,Female,64,1979-01-28,Account Representative III,Manufacturing,Affluent Customer,N,Yes,5.0,207 Annamark Plaza,4814,QLD,Australia,1,2709.097065512808
5,Melinda,Hadlee,Female,34,1965-09-21,Financial Analyst,Financial Services,Affluent Customer,N,No,19.0,115 Montana Place,2093,NSW,Australia,9,2693.7358389473748
6,Druci,Brandli,Female,39,1951-04-29,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,22.0,89105 Pearson Terrace,4075,QLD,Australia,7,2703.1959338966103
7,Rutledge,Hallt,Male,23,1976-10-06,Compensation Analyst,Financial Services,Mass Customer,N,No,8.0,7 Nevada Crossing,2620,NSW,Australia,7,2703.779826540583
8,Nancie,Vian,Female,74,1972-12-27,Human Resources Assistant II,Retail,Mass Customer,N,Yes,10.0,85 Carioca Point,4814,QLD,Australia,5,2705.650707602149
9,Duff,Karlowicz,Male,50,1972-04-28,Speech Pathologist,Manufacturing,Mass Customer,N,Yes,5.0,717 West Drive,2200,NSW,Australia,10,2711.895072119488
10,Barthel,Docket,Male,72,1985-08-02,Accounting Assistant IV,IT,Mass Customer,N,Yes,17.0,80 Scofield Junction,4151,QLD,Australia,5,2721.722780325302
11,Rockwell,Matson,Male,94,1995-01-01,Programmer Analyst I,Retail,High Net Worth,N,No,3.0,3682 Crowley Point,4573,QLD,Australia,6,2719.133309075185
12,Wheeler,Winward,Male,48,1999-08-30,Environmental Specialist,Manufacturing,Mass Customer,N,No,10.0,3 Golden Leaf Point,3216,VIC,Australia,8,2696.204622443254
13,Olag,,Male,60,1990-05-13,Human Resources Manager,Telecommunications,Mass Customer,N,No,9.0,0484 North Avenue,2032,NSW,Australia,11,2707.0903161436936
14,Melba,Spellacy,Female,38,1976-12-09,VP Marketing,Health,Mass Customer,N,No,4.0,0591 Anzinger Circle,2232,NSW,Australia,10,2687.2405474622624
15,Mandie,Feares,Female,32,1964-04-19,Clinical Specialist,Health,Mass Customer,N,No,10.0,39 Kedzie Pass,4053,QLD,Australia,8,2685.710853424177
16,Dukie,Swire,Male,88,1954-03-31,,Manufacturing,Affluent Customer,N,Yes,5.0,64 Granby Parkway,2500,NSW,Australia,8,2716.4134603828747
17,Marcelia,Monkleigh,Female,61,1993-08-22,Associate Professor,Manufacturing,Mass Customer,N,Yes,4.0,610 Swallow Street,4051,QLD,Australia,6,2708.6005172129567
18,Winnifred,Beswetherick,Female,83,1976-06-08,Actuary,Financial Services,Mass Customer,N,No,14.0,61 4th Street,3040,VIC,Australia,10,2701.9680365197414
19,Odilia,Quick,Female,65,1938-11-09,General Manager,Manufacturing,Affluent Customer,N,Yes,11.0,1550 Russell Way,2222,NSW,Australia,11,2703.6358319730175
20,Karly,Willavize,Female,2,1954-08-12,Internal Auditor,Manufacturing,High Net Worth,N,No,12.0,193 North Point,2190,NSW,Australia,10,2682.104346125645
21,Teddie,Burchill,Male,11,1968-12-21,Programmer I,Manufacturing,Mass Customer,N,Yes,13.0,321 Raven Plaza,2161,NSW,Australia,9,2709.26315337692
22,Gaston,Dallaghan,Male,44,1993-09-29,Financial Analyst,Financial Services,Mass Customer,N,Yes,8.0,656 Fuller Street,2783,NSW,Australia,7,2720.1698995730635
23,Otis,Ottey,Male,26,1998-02-05,Quality Engineer,,Mass Customer,N,No,3.0,1562 Merchant Street,4744,QLD,Australia,4,2704.6149055702717
24,Tabbatha,Averill,Female,5,1977-12-17,Quality Control Specialist,,Affluent Customer,N,Yes,13.0,663 8th Parkway,2257,NSW,Australia,8,2694.9011075934413
25,Brena,Schnitter,Female,78,1982-10-11,Account Executive,Manufacturing,Mass Customer,N,No,4.0,67 Shelley Street,4703,QLD,Australia,5,2697.763385745018
26,Rourke,Gillbard,Male,11,1945-08-03,,Property,Mass Customer,N,No,17.0,75 Cordelia Trail,4817,QLD,Australia,4,2697.1138864856002
27,Dyane,Burwell,Female,19,1952-06-27,Engineer II,Retail,Mass Customer,N,Yes,7.0,51 Hooker Court,2640,NSW,Australia,2,2695.3137621131677
28,Claudine,Barstowk,Female,71,1966-07-20,Nurse,Property,High Net Worth,N,Yes,5.0,1859 Forest Circle,4000,QLD,Australia,11,2707.8218940866013
29,Blinnie,Roze,Female,84,1960-12-10,Librarian,Entertainment,High Net Worth,N,No,11.0,44557 Rutledge Court,4171,QLD,Australia,7,2702.5120692934725
30,Rhona,De Freyne,Female,45,1960-11-22,,Health,High Net Worth,N,No,8.0,11184 East Drive,3056,VIC,Australia,10,2687.3981694599693
31,Sharron,Claibourn,Female,62,1980-01-26,,Financial Services,High Net Worth,N,Yes,17.0,555 Hermina Avenue,2280,NSW,Australia,8,2709.277638636169
