customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,profit
2197,Filip,Willows,Male,32,1993-09-16,Programmer Analyst I,Financial Services,Mass Customer,N,No,7.0,11 Sage Place,4055,QLD,Australia,7,378.15000000000015
506,Brett,Scrancher,Female,43,1985-02-14,Health Coach II,Retail,Mass Customer,N,No,21.0,20373 Kensington Pass,2151,NSW,Australia,8,6985.24
3677,Bartel,Fonteyne,Male,3,1986-07-11,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,20.0,8 Grover Parkway,2089,NSW,Australia,10,0.0
3067,Veronique,Wash,Female,8,1991-01-13,Chief Design Engineer,Manufacturing,Mass Customer,N,Yes,9.0,23384 Kings Drive,2261,NSW,Australia,9,3575.9
2148,Annis,Freeth,Female,78,1989-03-20,Engineer I,Manufacturing,Mass Customer,N,Yes,15.0,2800 Dottie Trail,3071,VIC,Australia,10,2346.16
2713,Hadlee,Mackro,Male,55,1954-11-03,Statistician II,Retail,Affluent Customer,N,Yes,5.0,6994 Hanson Place,2580,NSW,Australia,5,942.6899999999999
1335,Sibylla,Marlon,Female,57,1997-08-14,,Entertainment,Mass Customer,N,Yes,3.0,8766 Onsgard Plaza,3805,VIC,Australia,8,3332.6499999999996
1189,Mart,Bazoche,Male,22,1988-08-29,Geologist I,Health,High Net Worth,N,Yes,8.0,05 Charing Cross Plaza,2320,NSW,Australia,5,1472.66
107,Pris,Stallebrass,Female,97,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9.0,7342 Fieldstone Junction,2093,New South Wales,Australia,12,2343.9700000000003
2833,Cy,Braim,Male,60,1999-11-26,,IT,Mass Customer,N,Yes,3.0,77 Gulseth Lane,3181,VIC,Australia,8,2638.92
2521,Kellia,Martugin,Female,35,1999-08-29,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,3.0,88551 Hollow Ridge Pass,3500,VIC,Australia,2,2105.3900000000003
1113,Dorie,Willock,Male,45,1992-06-24,Recruiter,Property,Mass Customer,N,No,6.0,98 Schiller Junction,2747,NSW,Australia,9,6072.4800000000005
2391,Corny,Millott,Female,72,1961-04-22,Nurse Practicioner,Health,Mass Customer,N,No,14.0,7346 Luster Circle,4131,QLD,Australia,5,4852.43
2011,Guthrie,MacAne,Male,68,1978-01-22,VP Sales,Manufacturing,High Net Worth,N,Yes,12.0,1 Bobwhite Circle,2230,NSW,Australia,9,560.4800000000001
2686,Cully,Takos,Male,63,1996-05-21,Automation Specialist II,Financial Services,Affluent Customer,N,No,4.0,39746 Eliot Center,2177,NSW,Australia,9,6119.73
3418,Felipa,Paddingdon,Female,18,1959-12-31,Systems Administrator IV,Health,High Net Worth,N,No,19.0,618 Chinook Way,2155,NSW,Australia,10,2033.0099999999998
2774,Danella,Chevers,Female,50,1956-07-28,,Manufacturing,Mass Customer,N,No,14.0,0 Summit Trail,2287,NSW,Australia,5,1542.68
1466,Cyndia,Gull,Female,62,1998-01-05,Cost Accountant,Financial Services,High Net Worth,N,Yes,2.0,04 Gulseth Plaza,2528,NSW,Australia,8,978.4200000000001
3048,Kenon,Messruther,Male,38,1969-05-27,Legal Assistant,Manufacturing,Mass Customer,N,No,16.0,75 Hansons Alley,2260,NSW,Australia,9,8379.960000000001
2431,Alvy,Tyndall,Male,15,1999-12-24,Senior Cost Accountant,Financial Services,Mass Customer,N,Yes,2.0,401 Pond Circle,4019,QLD,Australia,7,167.62999999999997
3494,Robers,Richen,Male,72,1998-12-24,Account Representative IV,Argiculture,High Net Worth,N,No,1.0,3 Nova Point,3012,VIC,Australia,4,2755.1099999999997
544,Giacomo,Johanning,Male,51,1990-10-12,Structural Engineer,Manufacturing,High Net Worth,N,Yes,5.0,5 Farmco Junction,4127,QLD,Australia,7,2246.42
2276,Stormy,Caveney,Female,90,1985-10-06,Desktop Support Technician,,Mass Customer,N,Yes,12.0,054 Mesta Drive,3620,VIC,Australia,1,2304.7699999999995
1592,Thorin,Klagges,Male,21,1986-08-04,Software Test Engineer III,,Mass Customer,N,Yes,14.0,5447 Weeping Birch Place,2086,NSW,Australia,12,3348.25
1732,Elihu,Cudworth,Male,95,1978-07-07,Desktop Support Technician,Argiculture,Mass Customer,N,Yes,10.0,2538 Gateway Pass,4152,QLD,Australia,4,2263.3900000000003
882,Esmaria,Lythgoe,Female,59,1965-09-29,,Property,Mass Customer,N,Yes,11.0,923 Westerfield Junction,2065,NSW,Australia,10,4571.93
2254,Ann,Beek,Female,36,1955-10-21,Programmer Analyst II,Health,Affluent Customer,N,No,18.0,9 Waxwing Pass,2008,NSW,Australia,11,2318.8900000000003
3312,Franky,Nanninini,U,49,,Administrative Officer,IT,High Net Worth,N,No,,59 Coolidge Hill,2010,NSW,Australia,9,3123.0299999999997
3346,Nadya,Callaghan,Female,61,1991-09-11,Software Consultant,Financial Services,High Net Worth,N,No,3.0,736 Ohio Court,2200,NSW,Australia,10,1511.5700000000002
1355,Isador,Hallitt,Male,37,2001-04-04,VP Quality Control,Property,Mass Customer,N,No,1.0,91079 Lukken Way,3338,VIC,Australia,5,2713.7200000000003
1684,Janie,Stonehewer,Female,96,1979-07-10,Environmental Tech,Manufacturing,Mass Customer,N,No,6.0,72 Mosinee Court,3146,VIC,Australia,9,1507.2999999999997
2875,Keven,Leahair,Male,71,1998-10-23,Financial Analyst,Financial Services,High Net Worth,N,No,2.0,77433 Sunfield Court,3179,VIC,Australia,9,3231.91
2041,Mort,Heath,Male,52,1957-10-27,VP Accounting,Financial Services,Mass Customer,N,No,17.0,46031 Hudson Place,2075,NSW,Australia,11,3799.8600000000006
3186,Rora,Warre,Female,22,1997-05-09,,,Mass Customer,N,Yes,2.0,10 Hauk Point,3936,VIC,Australia,9,4279.33
2919,Rustin,,Male,47,1964-10-31,Safety Technician I,Financial Services,High Net Worth,N,Yes,8.0,3957 American Ash Plaza,2440,NSW,Australia,2,3489.3300000000004
548,Georgie,Cudbertson,U,84,,,IT,High Net Worth,N,Yes,,58 Maywood Place,2750,NSW,Australia,9,4223.29
3748,Maurise,Beal,Male,82,1956-01-10,Staff Scientist,,Affluent Customer,N,Yes,18.0,08261 Aberg Junction,2176,NSW,Australia,9,0.0
2772,Reynolds,Vreede,Male,15,1954-10-25,Quality Engineer,Property,Affluent Customer,N,Yes,13.0,9 Swallow Way,4115,QLD,Australia,7,2446.21
2156,Darill,Mowday,Male,96,1977-04-08,Desktop Support Technician,Retail,Mass Customer,N,Yes,18.0,32705 Shelley Junction,3172,VIC,Australia,8,2495.4300000000003
1874,Nickolai,McChesney,Male,17,1957-09-29,,Argiculture,High Net Worth,N,Yes,7.0,4 Bartelt Hill,4510,QLD,Australia,1,2146.69
2900,Cyrille,Figliovanni,Male,29,1986-05-30,Occupational Therapist,Health,Mass Customer,N,Yes,18.0,25 Schlimgen Terrace,2211,NSW,Australia,9,2041.2
632,Angeli,O'Hegertie,Male,67,1998-04-26,General Manager,Health,Mass Customer,N,No,1.0,8 Golf Drive,2747,NSW,Australia,9,1726.6099999999997
3887,Dulcie,Nealon,Female,66,1964-07-16,Computer Systems Analyst IV,,Affluent Customer,N,No,7.0,7482 Hanson Park,2567,NSW,Australia,5,0.0
533,Conny,Shearmer,Male,40,1981-12-14,Database Administrator III,Retail,Mass Customer,N,No,11.0,999 Huxley Hill,2190,NSW,Australia,10,5387.05
63,Ebony,Zini,Female,58,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16.0,68294 Clarendon Crossing,2230,New South Wales,Australia,10,2190.05
3937,Brennen,Mularkey,Male,81,1978-06-07,Tax Accountant,Property,Mass Customer,N,No,12.0,695 Anthes Crossing,4350,QLD,Australia,2,0.0
2394,Ferne,Reese,Female,31,1995-11-12,GIS Technical Architect,,Mass Customer,N,Yes,7.0,57 Tennessee Alley,4034,QLD,Australia,5,745.94
1147,Tate,Studholme,Male,71,1968-07-09,Health Coach II,Entertainment,High Net Worth,N,Yes,9.0,40570 Acker Alley,2166,NSW,Australia,9,4173.67
1332,Garek,De la Barre,Male,87,1978-05-01,Technical Writer,,Mass Customer,N,Yes,12.0,833 Sherman Court,3810,VIC,Australia,6,5075.610000000001
3199,Florry,Neasam,Female,98,1969-08-31,Product Engineer,,Mass Customer,N,Yes,15.0,60595 Northport Court,4122,QLD,Australia,8,6329.52
2988,Darrelle,Michie,Female,20,1998-02-02,Administrative Officer,,Mass Customer,N,Yes,1.0,9610 Gateway Trail,3429,VIC,Australia,5,3034.9700000000003
2132,Davina,Dougary,Female,16,1985-02-02,Human Resources Manager,Financial Services,High Net Worth,N,Yes,22.0,99000 Petterle Drive,2062,NSW,Australia,9,6401.829999999999
3556,Larina,Gheeorghie,Female,38,1997-07-05,Senior Developer,Manufacturing,High Net Worth,N,No,3.0,4 Dexter Park,4505,QLD,Australia,2,0.0
3336,Konstantine,Terne,Male,47,1979-01-10,Research Assistant IV,Manufacturing,Mass Customer,N,Yes,8.0,322 Namekagon Trail,2107,NSW,Australia,11,5824.4800000000005
515,Winna,Verny,Female,55,1989-09-04,Help Desk Operator,IT,High Net Worth,N,No,8.0,2595 Grover Drive,3124,Victoria,Australia,12,6986.24
3953,Allyson,Simak,Female,79,1999-06-18,Help Desk Operator,Health,Affluent Customer,N,Yes,2.0,85999 Cherokee Street,2086,NSW,Australia,11,0.0
2710,Flory,Standering,Male,77,1998-01-30,,Retail,Mass Customer,N,No,2.0,65 Sunbrook Road,2284,NSW,Australia,4,977.4100000000001
133,Eldridge,Fiddeman,Male,12,1977-06-13,VP Accounting,Financial Services,Mass Customer,N,Yes,16.0,869 Forster Circle,2112,New South Wales,Australia,10,803.89
2261,Gerome,Monshall,Male,81,1980-09-21,Account Representative II,Health,Mass Customer,N,Yes,13.0,987 Victoria Trail,4006,QLD,Australia,8,1465.16
3921,Gaby,Lozano,Female,93,1976-03-09,Mechanical Systems Engineer,Manufacturing,High Net Worth,N,No,10.0,7727 Merrick Parkway,2099,NSW,Australia,11,0.0
2735,Ricoriki,Burree,Male,18,1958-09-06,Associate Professor,Financial Services,High Net Worth,N,Yes,14.0,45454 Spenser Center,3149,VIC,Australia,12,836.04
2119,Dorise,Bellon,Female,51,1985-03-01,Senior Cost Accountant,Financial Services,Mass Customer,N,No,17.0,43 Sunbrook Terrace,4160,QLD,Australia,10,2795.32
218,Stefa,Dunnan,Female,37,1993-08-06,Administrative Officer,Property,High Net Worth,N,Yes,8.0,49 Emmet Junction,2015,NSW,Australia,11,1476.17
2926,Jonie,Bickerstasse,Female,27,1963-03-20,Research Nurse,Health,High Net Worth,N,No,12.0,51 Bay Junction,2081,NSW,Australia,10,1341.6799999999998
3508,Malvin,Marre,Male,89,1986-08-09,Pharmacist,Health,Mass Customer,N,No,5.0,70 Oakridge Pass,2019,NSW,Australia,10,0.0
2416,Eberhard,Shalcras,Male,19,1959-12-29,Office Assistant I,Health,Affluent Customer,N,No,16.0,290 Jay Drive,4210,QLD,Australia,3,300.0899999999999
1849,Jess,Bollans,Male,6,1958-07-01,,Retail,Mass Customer,N,Yes,5.0,867 Grim Terrace,3754,VIC,Australia,6,4077.2599999999998
576,Bart,Eakle,Male,98,1977-05-19,Recruiter,Retail,Mass Customer,N,Yes,7.0,7046 Surrey Road,2287,NSW,Australia,7,4580.35
995,Urbano,Mews,Male,16,1965-11-12,Information Systems Manager,Health,Mass Customer,N,Yes,19.0,5357 Mcguire Plaza,3073,VIC,Australia,9,6764.67
2579,Celka,Demsey,Female,35,1970-12-31,Desktop Support Technician,Manufacturing,Mass Customer,N,No,16.0,258 Bunker Hill Hill,2138,NSW,Australia,8,788.5
1910,Yovonnda,Warrior,Female,20,1959-07-13,Systems Administrator I,Property,High Net Worth,N,Yes,14.0,5 Porter Road,4014,QLD,Australia,6,907.45
723,Madelina,Marte,Female,41,1963-08-20,Food Chemist,Health,Mass Customer,N,Yes,6.0,80027 Ryan Terrace,3551,Victoria,Australia,3,3489.96
174,Catie,Tosspell,Female,93,1989-11-26,Food Chemist,Health,Mass Customer,N,No,12.0,8 Dixon Parkway,2783,NSW,Australia,7,7628.24
1371,Aretha,Joscelyn,Female,39,1959-08-02,Design Engineer,Retail,Mass Customer,N,Yes,13.0,3962 Rigney Center,3156,VIC,Australia,8,1270.94
171,Halli,Davidoff,Female,62,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,N,No,10.0,52273 Bay Place,3145,VIC,Australia,11,4833.139999999999
3794,Dorrie,Paige,Female,47,1994-07-06,,IT,Mass Customer,N,No,2.0,39946 Kenwood Court,3070,VIC,Australia,9,0.0
3397,Melisande,,Female,70,1985-08-19,Product Engineer,IT,Mass Customer,N,No,11.0,6851 Orin Parkway,2142,NSW,Australia,10,808.8499999999999
1770,Chrysler,Vasile,Female,63,1995-04-10,Junior Executive,,Mass Customer,N,Yes,7.0,6 Hansons Park,2145,NSW,Australia,7,4366.04
3432,Max,Cloney,Female,99,1988-11-27,Junior Executive,Argiculture,Mass Customer,N,Yes,2.0,34 Calypso Court,2153,NSW,Australia,10,3707.7000000000003
884,Pepito,Lamming,Male,11,1978-01-30,Web Designer IV,Property,Mass Customer,N,No,17.0,89 Monument Place,4720,QLD,Australia,1,2770.8500000000004
320,Aldous,Cubin,Male,19,1997-02-09,Registered Nurse,Health,Mass Customer,N,No,4.0,84 Lawn Way,2223,NSW,Australia,9,7204.66
