customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,profit
3336,Konstantine,Terne,Male,47,1979-01-10,Research Assistant IV,Manufacturing,Mass Customer,N,Yes,8.0,322 Namekagon Trail,2107,NSW,Australia,11,5824.4800000000005
2182,Symon,Minchin,Male,47,1967-04-23,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,16.0,53221 Namekagon Parkway,2557,NSW,Australia,9,4766.82
3237,Astrid,Sumnall,Female,94,1964-08-15,Assistant Manager,Manufacturing,Mass Customer,N,No,13.0,7574 Onsgard Drive,4011,QLD,Australia,7,3919.85
2223,Sarita,Georgiev,Female,38,1981-01-29,Professor,Health,Mass Customer,N,No,12.0,60650 Mcbride Point,3918,VIC,Australia,7,3538.4199999999996
1171,Ilise,Solloway,Female,32,1971-08-15,Human Resources Manager,,Affluent Customer,N,Yes,8.0,79 Grasskamp Center,2170,NSW,Australia,9,3879.3199999999997
3115,Rip,Spiers,Male,40,1981-02-26,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0,6620 Elmside Drive,4118,QLD,Australia,9,4020.9100000000003
2355,Shaughn,,Male,87,1993-12-19,Operator,Manufacturing,Mass Customer,N,Yes,4.0,24 Lerdahl Street,4825,QLD,Australia,3,4351.82
516,Craggy,Loadsman,Male,23,1958-01-07,Environmental Tech,Financial Services,Mass Customer,N,No,20.0,3169 Old Gate Point,2211,NSW,Australia,9,4722.210000000001
3352,Fredek,Lobley,Male,14,1994-12-28,Human Resources Assistant IV,Manufacturing,Affluent Customer,N,No,1.0,73 Burrows Court,3121,VIC,Australia,8,2839.35
1372,Rockie,Wheldon,Male,44,1980-07-02,Computer Systems Analyst III,Manufacturing,Affluent Customer,N,No,17.0,64201 Bonner Point,3169,VIC,Australia,5,2935.6800000000003
1976,Letitia,Coan,Female,84,1975-08-16,Product Engineer,Manufacturing,Mass Customer,N,No,11.0,67125 Melody Place,2747,NSW,Australia,8,1731.6299999999999
2751,Cordell,Coxhell,Male,94,1979-07-27,Sales Associate,Retail,High Net Worth,N,Yes,12.0,2241 Pearson Plaza,4503,QLD,Australia,6,3819.8099999999995
2910,Drucill,Petrus,Female,15,1962-12-17,Registered Nurse,Health,Mass Customer,N,Yes,12.0,3 Barnett Way,2763,NSW,Australia,9,3564.73
1797,Basile,Le Floch,Male,49,1974-05-16,Assistant Professor,,Mass Customer,N,No,8.0,95465 Union Plaza,4055,QLD,Australia,7,6539.78
1111,Zach,Maynard,Male,96,1960-03-04,Director of Sales,,High Net Worth,N,Yes,18.0,84 Porter Alley,2153,NSW,Australia,10,2561.15
2431,Alvy,Tyndall,Male,15,1999-12-24,Senior Cost Accountant,Financial Services,Mass Customer,N,Yes,2.0,401 Pond Circle,4019,QLD,Australia,7,167.62999999999997
2377,Kristien,Dunne,Female,29,1998-10-02,Analog Circuit Design manager,IT,High Net Worth,N,No,2.0,9 American Ash Plaza,2015,NSW,Australia,9,4707.549999999999
788,Gregg,Townsend,Male,62,1964-07-01,Social Worker,Health,Mass Customer,N,No,11.0,4085 Jackson Hill,2830,NSW,Australia,7,4228.66
2681,Liza,LeEstut,Female,78,1974-09-15,Programmer Analyst III,Manufacturing,Affluent Customer,N,Yes,18.0,51 Dixon Court,2570,NSW,Australia,8,2561.48
2067,Slade,Mulvin,Male,81,1979-05-05,Registered Nurse,Health,Mass Customer,N,No,17.0,2982 Monterey Way,3182,VIC,Australia,10,3743.8
